0,0.99287,2.6142,0.52702,1.8073,0.26547,0.98587,0,1.9134,0.58206,0.97343,2.6866,1.0636,0.76049,0.95032,0.58213
0.23783,0,2.0065,1.1993,0.094439,0.89623,0.27885,0.34699,0.99594,1.4614,0.41224,0.42143,0.092171,0.77279,1.7819,0.29049
2.6049,1.575,0,0.28887,0.12528,0.14074,0.59154,0.65879,0.28313,0.72521,0.68486,1.3228,0.45167,0.64391,1.3758,0.42903
0,0.092589,1.2124,0,0.18221,0.97065,0.0054282,0.36579,0,0.20492,0.35337,0.10693,2.1365,1.5246,1.5277,0.036061
3.4784,3.1935,2.7351,12.694,0,4.5677,8.2526,0.79402,6.068,6.7083,1.547,2.5828,5.2366,5.9237,7.7634,2.9768
0.63991,1.5953,0.66116,0.77767,0.80371,0,0.52035,3.4907,1.6446,0.21643,2.1999,2.0932,2.8331,0.63074,0.54051,1.45
4.03,6.0607,3.5573,4.1408,3.6836,8.9824,0,2.8013,2.2205,4.2438,6.928,5.6264,5.5117,3.5613,4.5121,6.6921
0,0.22729,0,0,0.76995,0.7615,1.0645,0,0.063034,0.78778,8.4604,2.4753,0.55537,0,0.38348,0.54792
5.6829,4.8328,1.1168,3.0241,1.0851,1.4747,0.84373,0.90314,0,3.866,0.14852,1.4625,3.0684,2.6067,2.8061,2.6107
2.7836,1.8921,2.9588,4.6372,3.137,1.3382,0.87183,0.41064,1.922,0,0.56871,0.95858,1.7047,0.45442,2.7297,1.5037
0.78649,0.59207,2.3192,0.093568,0.6674,2.3718,0.39357,3.0347,0.59114,1.7353,0,4.7055,1.7016,1.244,0.086302,1.0095
0.64722,0,1.9873,1.035,0.36754,0.98021,0.61737,3.4116,0.26791,0.66015,0.8032,0,0.61403,0.22502,0,0.4432
2.3814,0.70453,4.614,1.0034,0,0.5795,0.14409,1.4582,0.62091,0.54718,1.5999,1.7168,0,1.471,0.076402,1.4229
0.76766,0.29931,0.73264,0.68727,0.25447,0.70131,0.16996,0.090268,0,0.16018,0.31543,0.16627,1.1913,0,1.1987,0.15529
0.49006,0.66779,0,3.0801,0.47797,2.2182,0.11771,0,0.32689,0.5188,0.068587,0.17948,1.0964,2.8473,0,0.44635
8.4438,9.8698,1.7624,3.9901,2.9003,5.3818,7.399,6.2651,6.7556,3.2824,7.5942,5.4418,5.2676,4.3715,4.8415,0
